id,row,col,r,g,b,alpha_avg,label
810,12,41,91,66,48,112,
811,12,42,155,86,60,231,
812,12,43,50,27,19,74,
813,12,44,0,0,0,0,
814,12,45,89,45,33,126,
815,12,46,115,57,41,163,
816,12,47,92,48,34,131,
817,12,48,30,16,14,66,
818,12,49,8,28,42,70,
819,12,50,111,77,56,137,
820,12,51,12,14,9,26,
821,12,52,14,19,12,34,
822,12,53,15,22,13,40,
823,12,54,18,27,16,48,
824,12,55,8,13,8,26,
825,12,56,8,13,8,26,
826,12,57,11,13,8,24,
827,12,58,20,29,18,54,
828,12,59,8,11,7,24,
829,12,60,23,35,19,63,
830,12,61,8,14,7,24,
831,12,62,0,0,0,0,
832,12,63,0,0,0,0,
833,13,0,0,0,0,0,
834,13,1,176,122,98,255,
835,13,2,129,90,74,185,
836,13,3,70,51,43,96,
837,13,4,66,49,41,90,
838,13,5,172,116,91,255,
839,13,6,63,42,33,96,
840,13,7,63,42,33,96,
841,13,8,0,0,0,0,
842,13,9,174,118,93,255,
843,13,10,0,0,0,0,
844,13,11,0,0,0,0,
845,13,12,128,39,44,175,
846,13,13,62,49,65,255,
847,13,14,17,12,14,56,
848,13,15,72,51,41,109,
849,13,16,139,132,124,255,
850,13,17,72,51,41,109,
851,13,18,147,116,104,255,
852,13,19,155,125,110,255,
853,13,20,64,43,32,97,
854,13,21,184,124,93,255,
855,13,22,63,220,232,255,
856,13,23,180,131,105,255,
857,13,24,180,131,104,255,
858,13,25,180,131,105,255,
859,13,26,57,220,232,255,
860,13,27,57,220,232,255,
861,13,28,64,43,32,97,
862,13,29,4,3,2,7,
863,13,30,145,99,82,255,
864,13,31,4,3,2,7,
865,13,32,64,43,32,97,
866,13,33,164,114,89,255,
867,13,34,64,43,32,97,
868,13,35,0,0,0,0,
869,13,36,0,0,0,0,
870,13,37,0,0,0,0,
871,13,38,204,143,106,255,
872,13,39,48,35,26,60,
873,13,40,112,81,61,143,
874,13,41,48,35,26,60,
875,13,42,16,9,7,26,
876,13,43,41,21,15,58,
877,13,44,42,21,15,60,
878,13,45,83,42,30,118,
879,13,46,129,65,49,193,
880,13,47,132,68,52,202,
881,13,48,0,0,0,0,
882,13,49,45,23,16,72,
883,13,50,103,69,54,137,
884,13,51,21,18,9,32,
885,13,52,24,28,20,44,
886,13,53,20,34,20,60,
887,13,54,16,29,16,57,
888,13,55,9,15,10,34,
889,13,56,9,16,10,34,
890,13,57,10,17,11,39,
891,13,58,22,18,17,42,
892,13,59,13,18,11,36,
893,13,60,28,48,26,90,
894,13,61,14,24,12,40,
895,13,62,0,0,0,0,
896,13,63,0,0,0,0,
897,14,0,0,0,0,0,
898,14,1,0,0,0,0,
899,14,2,0,0,0,0,
900,14,3,0,0,0,0,
901,14,4,0,0,0,0,
902,14,5,0,0,0,0,
903,14,6,0,0,0,0,
904,14,7,0,0,0,0,
905,14,8,0,0,0,0,
906,14,9,0,0,0,0,
907,14,10,0,0,0,0,
908,14,11,0,0,0,0,
909,14,12,83,50,64,255,
910,14,13,124,77,74,255,
911,14,14,0,0,0,0,
912,14,15,66,44,33,96,
913,14,16,112,114,117,255,
914,14,17,66,44,33,96,
915,14,18,85,125,149,255,
916,14,19,22,128,185,255,
917,14,20,27,152,197,255,
918,14,21,0,0,0,0,
919,14,22,43,29,22,64,
920,14,23,99,78,66,143,
921,14,24,99,78,64,143,
922,14,25,99,78,66,143,
923,14,26,43,29,22,64,
924,14,27,46,35,30,70,
925,14,28,46,35,30,70,
926,14,29,0,0,0,0,
